topic,paraphrase_idx,n_models,n_unique_labels,all_agree,majority_agreement_pct,labels
American-Civil-Liberties-Union-ACLU,0,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
American-Civil-Liberties-Union-ACLU,1,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
American-Civil-Liberties-Union-ACLU,2,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
American-Civil-Liberties-Union-ACLU,3,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
American-Civil-Liberties-Union-ACLU,4,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
American-Civil-Liberties-Union-ACLU,5,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
American-socialism,0,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
American-socialism,1,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
American-socialism,2,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
American-socialism,3,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
American-socialism,4,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
American-socialism,5,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
Big-Three-Auto,0,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
Big-Three-Auto,1,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
Big-Three-Auto,2,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
Big-Three-Auto,3,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
Big-Three-Auto,4,3,2,False,66.66666666666666,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:leans_con
Big-Three-Auto,5,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
Bill-Clinton,0,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
Bill-Clinton,1,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
Bill-Clinton,2,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
Bill-Clinton,3,3,1,True,100.0,gemini-2.0-flash:neutral; gpt-4o:neutral; grok-3:neutral
