evidence_hashes,evidence_text,n_models,median_shift,mean_shift,median_abs_shift,mean_abs_shift,sign_agreement_rate,between_model_std,char_count,word_count,sentence_count,digit_count,number_density,avg_word_length,avg_sentence_length_words,syllable_count_est,flesch_kincaid_grade_est,has_number,has_percent,has_source_cue,has_uncertainty,has_causal_language,has_normative_language,has_policy_legal_terms,has_health_safety_terms,has_economic_terms,has_comparative_language,has_negation,has_citation_marker,has_question_mark,has_quote_mark,has_statistics,has_source,percent_count,source_cue_count,normative_cue_count,stats_term_count,citation_count,percent_count_per_100_words,source_cue_count_per_100_words,normative_cue_count_per_100_words,citation_count_per_100_words,stats_cue_count_per_100_words,has_strict_source,has_strict_statistics
00154e713374c7f84a5a16b213b0d238a8413014ecb3d2442f6558bb87026f9e,"Signed in 1962, the Cuban embargo has not accomplished any of its goals in more than 60 years of implementation. Cuba has not adopted a representative democracy and poses no threat to the United States.

Cuba's relationship with the Soviet Union during the Cold War raised concerns about U.S. national security, but that era is long over. The U.S.S.R. dissolved in 1991, and American foreign policy has adapted to the change in most aspects apart from the embargo. [67] [68]

The U.S. Defense Intelligence Agency released a report in 1998 stating, ""Cuba does not pose a significant military threat to the U.S. or to other countries in the region."" The embargo can no longer be justified by the fear of Communism spreading throughout the Western Hemisphere. [22]

Fidel Castro resigned his presidency in 2008 and abdicated his role as the leader of Cuba's Communist Party in 2011 because of illness. His brother Raúl then stepped in to take his place, and in Apr. 2019 Vice President Miguel Díaz-Canel, a close Castro ally, was selected as president. If more than 50 years of sanctions have not toppled the Castro regime, there is no reason to think the embargo will ever work. [65] [66] [117]

Furthermore, the embargo harms the U.S. economy and Americans. The U.S. Chamber of Commerce opposes the embargo, saying that it costs the United States $1.2 billion annually in lost sales of exports. [19]

A study by the Cuba Policy Foundation, a nonprofit founded by former U.S. diplomats, estimates that the annual cost to the U.S. economy could be as high as $4.84 billion in agricultural exports and related economic output. ""If the embargo were lifted, the average American farmer would feel a difference in his or her life within two to three years,"" the study's author said. [20]

A Mar. 2010 study by Texas A&M University calculated that removing the restrictions on agricultural exports and travel to Cuba could create as many as 6,000 jobs in the U.S. [19]

And nine U.S. governors released a letter on Oct. 14, 2015, urging Congress to lift the embargo. It stated, ""Foreign competitors such as Canada, Brazil and the European Union are increasingly taking market share from U.S. industry [in Cuba], as these countries do not face the same restrictions on financing....Ending the embargo will create jobs here at home, especially in rural America, and will create new opportunities for U.S. agriculture."" [98]
Citations:
[98] Agencia EFE, ""Nine U.S. Governors Ask Congressional Leaders to End Cuban Embargo,"" latino.foxnews.com, Oct. 15, 2015
[20] Cuba Policy Foundation, ""America's Farmers Bearing Heavy Burden for U.S. Embargo Against Cuba: New Report,"" cubafoundation.org, Jan. 28, 2002
[66] Robert Johnson, ""End of an Era: Castro Resigns from Party Leadership and Calls for Liberalization,"" businessinsider.com, Apr. 19, 2011
[67] Alain-Pierre Hovasse, ""20 Years Since the Fall of the Soviet Union,"" The Atlantic , Dec. 23, 2011
[65] Morgan Neill, Pam Benson, and Shasta Darlington, ""Cuba Quiet After Castro Announces Resignation,"" edition.cnn.com, Feb. 19, 2008
[68] Brandon Amash, ""Evaluating the Cuban Embargo,"" prospectjournal.org, July 23, 2012
[19] U.S. Chamber of Commerce, ""International Agenda: Oppose Unilateral Economic Sanctions,"" uschamber.com (accessed Dec. 19, 2012)
[117] Patrick Oppmann, ""Cuba's National Assembly Announces Miguel Diaz-Canel as New President,"" cnn.com, Apr. 19, 2018
[22] Bill Clinton, ""State on Signing the Cuban Liberty and Democratic Solidarity (LIBERTAD) Act of 1996,"" presidency.ucsb.edu, Mar. 12, 1996",3,0.051703703703703696,0.050456312761432774,0.051703703703703696,0.050456312761432774,1.0,0.027032633953486943,3549,560,72,147,0.04142011834319527,5.326785714285714,7.777777777777778,968,7.840476190476192,True,False,True,True,True,False,True,False,True,True,True,True,False,True,True,True,0,4,0,1,19,0.0,0.7142857142857143,0.0,3.392857142857143,26.428571428571427,True,False
002ffbd8965ea2df05499be7d923b55c96674726b3572f23c8362a88c489b3c1,"In a league of 120 teams, there is no way for every team to play each other in the course of the regular season, let alone in a playoff during the post-season.",5,-0.32486772486772486,-0.2778063943170198,0.32486772486772486,0.2778063943170198,1.0,0.15632524731705408,159,32,1,3,0.018867924528301886,4.0,32.0,45,13.48375,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,0,0,0,0,0.0,0.0,0.0,0.0,9.375,False,False
00d3bb5fbeae93ef000cc3d40385b0ea5fe17355e15d9b018eb7e6444a7b60d2,"""As indicated by the historical record, a gold standard regime is not necessarily a bad idea. The classical gold standard performed comparatively well in its day. However, a gold standard regime is not necessarily a good idea for today because virtually every country now has a central bank, and central banks are major players in monetary policy and financial markets. Unless we abolish central banks (an unrealistic proposition), instituting some sort of gold standard-like system would require trusting central bankers to administer the system well.
Given the disastrous results of the interwar system as well as the end of the ill-fated postwar Bretton Woods System (which also proved difficult to implement as its fragile design prompted attacks from speculators seeking to game exchange rates they believed central banks could not credibly control), it seems unlikely that a current-day version of a gold standard would work well. Moreover, as the interwar experience shows, severe economic downturns brought on by poor monetary policy can lead to support for less market-oriented policies, as politicians blame the downturn on supposed inherent flaws of the market economy rather than on bad policy.""
Patrick Horan, ""Is a Gold Standard Practical Today?,"" mercatus.org, July 20, 2020
Citations:",5,-0.0151851851851852,-0.048044577073925225,0.017473884140550806,0.05719122282854132,0.6,0.10314583710043941,1300,200,8,6,0.004615384615384616,5.505,25.0,377,16.403000000000002,True,False,False,True,True,False,True,False,True,True,True,False,True,True,True,False,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,False,False
00d674eb3e7861307ef8fbe93e84b15db09a4af07f9d4453905947822c7ce69d,"Facial recognition technology can be used for passive, warrantless surveillance without the knowledge of the person being watched. In Russia, facial recognition was used to monitor and arrest protesters who supported jailed opposition politician Aleksey Navalny , who was found dead in prison in 2024. Russians fear a new facial recognition payment system for Moscow's metro will increase these sorts of arrests. [36] [37] [38]

Ring, the AI doorbell and camera company owned by Amazon, has partnered with more than 400 police departments, allowing the police to request footage from users' doorbell cameras. While users were allowed to deny access to any footage, privacy experts feared the close relationship between Ring and the police could override customer privacy, especially when the cameras frequently record activity on others' property. The policy ended in 2024, but experts say other companies allow similar invasions. [39] [91]

AI also follows you on your weekly errands. Target used an algorithm to determine which shoppers were pregnant and sent them baby- and pregnancy-specific coupons in the mail, infringing on the medical privacy of those who may be pregnant, as well as those whose shopping patterns may just imitate pregnant people. [40] [41]

Moreover, artificial intelligence can be a godsend to crooks. In 2020 a group of 17 criminals defrauded $35 million from a bank in the United Arab Emirates using AI ""deep voice"" technology to impersonate an employee authorized to make money transfers. In 2019, thieves attempted to steal $240,000 using the same AI technology to impersonate the CEO of an energy firm in the United Kingdom. [42]
Citations:
[41] Kashmir Hill, ""How Target Figured Out A Teen Girl Was Pregnant Before Her Father Did,"" forbes.com, February 16, 2012
[37] Pjotr Sauer, ""Privacy Fears as Moscow Metro Rolls out Facial Recognition Pay System,"" theguardian.com, October 15, 2021
[40] David A. Teich, ""Artificial Intelligence and Data Privacy - Turning a Risk into a Benefit,"" forbes.com, August 10, 2020
[91] Associated Press, ""Ring Will No Longer Allow Police to Request Users' Doorbell Camera Footage,"" npr.org, January 25, 2024
[39] Drew Harwell, ""Doorbell-Camera Firm Ring Has Partnered with 400 Police Forces, Extending Surveillance Concerns,"" washingtonpost.com, August 28, 2019
[36] ACLU, ""Facial Recognition,"" aclu.org (accessed October 15, 2021)
[38] Gleb Stolyarov and Gabrielle Tétrault-Farber, ""'Face Control': Russian Police Go Digital against Protesters,"" reuters.com, February 11, 2021
[42] Thomas Brewster, ""Fraudsters Cloned Company Director's Voice In $35 Million Bank Heist, Police Find,"" forbes.com, October 14, 2021",1,-0.8361045130641329,-0.8361045130641329,0.8361045130641329,0.8361045130641329,1.0,,2677,405,20,114,0.04258498319013822,5.604938271604938,20.25,721,13.314413580246917,True,False,True,True,False,False,True,True,False,True,True,True,False,True,True,True,0,0,0,0,16,0.0,0.0,0.0,3.950617283950617,28.14814814814815,True,False
00f09438c90c535348e1c21966be045197cda701c39ae0e656bf7263cd7567e9,"While online banking and other sensitive tasks are secure online, elections are entirely different because votes must be kept anonymous. ""All the same mechanisms that you might use to detect that something went wrong are all the mechanisms that we're not allowed to give you because of the requirement for anonymity,"" explains Dan Wallach, a professor of computer science at Rice University. [24]

Democracy Live's OmniBallot is an Internet ballot-marking platform. A review found the platform ""vulnerable to vote manipulation by malware on the voter's device and by insiders or other attackers who can compromise Democracy Live, Amazon, Google, or Cloudflare."" Further, the company did not have a privacy policy and collected voters' identity, ballot selections, and browser fingerprints, which are unique hardware and software configurations including everything from which fonts are installed on a device to if cookies are enabled. [25] [26] [27]

In 2018, West Virginia allowed some voters to use an Internet voter platform called Voatz. A review of the platform by MIT computer scientists concluded, ""Our analysis has shown that this application is not secure. A passive network adversary can discover a user's vote, and an active one can disrupt transmission in response. An attacker that controls a user's device also controls their vote, easily brushing aside the app's built-in countermeasures. And our analysis of the protocol shows that one who controls the server likely has full power to observe, alter, and add votes as they please."" [28]

Not only are the voting platforms insecure and vulnerable to attack, but the devices used to vote are as well. Internet voting requires individuals to ""bring your own device."" With millions of individual computers, tablets, and phones come innumerable security risks as each device may carry malware, have been hacked, or be otherwise compromised. An attack on a single device could endanger the entire election system. [29]

Internet voting is a ""nonstarter"" according to Aviel Rubin, Technical Director of the Johns Hopkins University Information Security Institute. ""Internet voting requires trusting the software developers who create the system, trusting the network providers, trusting the network protocols, and trusting the end systems in people's homes. Over the last decade, we have seen security incidents on the Internet increase exponentially. As attackers grow in sophistication, the systems they are exploiting are growing in complexity. It is the perfect storm for mayhem."" [30]
Citations:
[24] Eric Geller, ""Some States Have Embraced Online Voting. It's a Huge Risk.,"" politico.com, June 8, 2020
[26] Tamas Kadar, ""What Is Browser Fingerprinting & How Does It Work?,"" seon.io (accessed Oct. 12, 2022)
[28] Michael A. Specter, James Koppel, and Daniel Weitzner, ""The Ballot is Busted Before the Blockchain: A Security Analysis of Voatz, the First Internet Voting Application Used in U.S. Federal Elections,"" internetpolicy.mit.edu, Feb. 2020
[30] Aviel Rubin, ""Why Internet Voting Is a Nonstarter,"" engineering.jhu.edu, Summer 2016
[25] Michael A. Specter and J. Alex Halderman, ""Security Analysis of the Democracy Live Online Voting System,"" internetpolicy.mit.edu, June 7, 2020
[27] Democracy Live, ""OmniBallot Fact Sheet,"" democracylive.com (accessed Dec. 8, 2022)Joe Mascaro, ""To Save Earth, Go to Mars,"" aeon.com, May 11, 2016
[29] National Institute of Standards and Technology, ""Risk Management for Electronic Ballot Delivery, Marking, and Return,"" politico.com, May 2020",5,0.06711409395973154,0.10328718629622916,0.06711409395973154,0.10328718629622916,1.0,0.09963137803979843,3548,534,41,71,0.020011273957158963,5.638576779026217,13.024390243902438,1038,12.426590846807347,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,0,1,2,0,14,0.0,0.18726591760299627,0.37453183520599254,2.6217228464419478,13.295880149812733,True,False
01467cac1bb57edcdb9dd2f4bc2c0459c97422f8fafe3e20ec28d9df587472f1,"Cuba continues to play a destabilizing role in the Western Hemisphere, providing a communist foothold in the region and propping up U.S. adversaries in places like Venezuela and Nicaragua by fomenting instability, undermining the rule of law, and suppressing democratic processes. This Administration has made a strategic decision to reverse the loosening of sanctions and other restrictions on the Cuban regime. These actions will help to keep U.S. dollars out of the hands of Cuban military, intelligence, and security services.
-Steven Mnuchin, ""Treasury and Commerce Implement Changes to Cuba Sanctions Rules,"" home.treasury.gov, June 4, 2019",5,0.22407407407407406,0.26191788168258756,0.22407407407407406,0.26191788168258756,1.0,0.23519250303835337,646,95,9,5,0.007739938080495356,5.810526315789474,10.555555555555555,194,12.623508771929828,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,0,0,0,0,0,0.0,0.0,0.0,0.0,5.2631578947368425,False,False
0149205e826c4e06e2772430630f7bb50bec7559669fa6c45f7465704243e83c,"Autonomy is ""the state or condition of self-governance, or leading one's life according to reasons, values, or desires that are authentically one's own."" Bodily autonomy, in turn, is control over one's physical being. [19]

MAID laws are written ""to offer agency and autonomy at the end of life in lieu of suffering, indignity, and shame."" [20]

We should protect the ""personal autonomy people should have to decide that they don't want to continue living to the end of a condition from which they will die after many months, weeks, or days of suffering, both physically and existentially-that is, when there is no longer purpose in their lives,"" according to lawyer Lamar W. Hawkins. [21]

""Our own [U.S.] Supreme Court, nearly 30 years ago, found that we all have the right to decide what medical care we are willing to accept,"" adds Hawkins. ""We should also have a right to decide what suffering we are willing to endure and receive medical assistance necessary to avoid the suffering we want to avoid. Our essential right to take our own lives when faced with unwanted suffering is undeniable-no state prohibits it. What we don't yet have everywhere is the right to receive assistance in doing so, an omission that discriminates against the too feeble, the too ill, and the too disabled, who nevertheless know their own minds and deserve the assistance necessary to exercise that essential right."" [21]

For many terminally ill patients who are interested in MAID and go through the process to qualify and obtain a prescription for death, just having the lethal medication on hand relieves anxieties and fears about not only their potentially excruciating deaths but the lives and good moments they have left. [22]

Many find support from family, friends, and medical professionals to continue their lives for a while longer. In fact, many do not take the prescription medication and instead die from the terminal illness itself, but they die more peacefully having had the option of ending their lives and suffering on their own terms. [22]
Citations:
[22] Allison Wallis, ""Death Doulas and End-of-Life Rights: The Debate on Assisted Dying,"" aljazeera.com, August 8, 2021
[21] Lamar W. Hawkins, ""Is Medical Aid in Dying a Human Right? Another View,"" thehastingscenter.org, December 19, 2019
[20] Esmé E Deprez, ""A Fight to Die,"" bloomberg.com, December 17, 2021
[19] James Stacey Taylor, ""Autonomy,"" britannica.com, June 20, 2017",1,-0.01283783783783783,-0.01283783783783783,0.01283783783783783,0.01283783783783783,1.0,,2434,397,20,45,0.01848808545603944,5.120906801007557,19.85,672,12.125303526448366,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,0,2,8,0,10,0.0,0.5037783375314862,2.0151133501259446,2.5188916876574305,11.335012594458439,True,False
015b0756b51037dc15c923a6b980e78d6ab4b336efa137c82da78bc94bdcea20,"- 2007
Citations:",9,-0.12339869281045754,-0.08440366058861576,0.1792452830188679,0.17782124879293382,0.8888888888888888,0.21545001824287188,17,3,1,4,0.23529411764705882,5.0,3.0,3,-2.619999999999999,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0.0,0.0,0.0,0.0,133.33333333333334,False,False
01a2b61f721ad76598c156213cd4ff3f7ebb8f0db66a08994c55e5c488dcd221,"There are dozens of FDA-approved brand name and generic birth control pills, and the majority will not be available OTC. As of May 2025, only one birth control pill-the minipill Opill-is available OTC, meaning women may choose the progestin-only pill because it's the easiest to obtain when a prescribed combination pill may be better for them. Plus, only about 0.4 percent of American reproductive-aged women have been prescribed progestin-only birth control pills, or about 2 percent of all women who take the Pill, meaning doctors thought other birth control pills were better options. [73] [76] [77]

Even with OTC options, ""Women visiting their pharmacists won't have access to the most reliable forms of birth control on the market because those methods, such as implantable rods or intrauterine devices (IUDs), will still require a trip to a doctor's office,"" explains journalist Sarah Elizabeth Richards. [75]

Making birth control pills OTC means they would no longer be covered by insurance companies, and women would have to pay for them on their own. With the Obamacare birth control mandate, insured women can access free birth control and well-woman visits without a co-pay. The National Women's Law Center estimates that 64.2 million insured women had birth control coverage with no out-of-pocket cost. [45] [46] [125] [126]

To combat accessibility barriers, some states are making birth control available without a prescription but not over the counter. In those states, a pharmacist is just required to ask the patient a few questions, and note the patient's blood pressure and weight. Some states even allow 12-month supplies to be dispensed at once, which has been found to reduce unintended pregnancies by 30 percent and the odds of an abortion by 46 percent. The birth control in these cases is covered by insurance. A study found that 68 percent of women would use birth control if it were available via a pharmacist, and 63 percent agreed the pharmacist consultation was an important step. [66] [67] [68] [127]

Furthermore, women in some states can access birth control via an app or website from private companies. Insurance covers some of these prescriptions, and all that is generally required is a brief consultation to assess risks and appropriate medication, sometimes by video chat. Some services even deliver the birth control to the patient, eliminating the need to stop by a pharmacy. Innovations in birth control pill access like this are better than OTC status. [69] [70] [71] [72]
Citations:
[46] National Women's Law Center, ""New Data Estimate 62.8 Million Women Have Coverage of Birth Control without Out-of-Pocket Costs,"" nwlc.org, November 6, 2018
[70] Nurx, nurx.com (accessed September 19, 2018)
[73] Casey Gueren, ""Should Birth Control Be Over the Counter?,"" womenshealthmag.com, October 31, 2014
[71] Lemonaid, lemonaidhealth.com (accessed September 19, 2018)
[76] Daniel Grossman and Kate Grindlay Kelly, ""These Birth Control Pills Should Be Available without a Prescription,"" teenvogue.com, February 2, 2018
[125] Kaiser Family Foundation, ""Women's Health Insurance Coverage,"" kff.org, November 8, 2021
[67] Bixby Center for Global Reproductive Health, ""Making a One-Year Supply of Birth Control a National Standard,"" bixbycenter.ucef.efu (accessed September 19, 2018)
[45] Henry J. Kaiser Family Foundation, ""Women's Health Insurance Coverage,"" kff.org, October 31, 2017
[72] Pandia Health, pandiahealth.com (accessed September 19, 2018)
[68] Sharon Cohen Landau, Molly Parker Tapias, and Belle Taylor McGhee, ""Birth Control within Reach: A National Survey on Women's Attitudes toward and Interest in Pharmacy Access to Hormonal Contraception,"" Contraception , December 2006
[69] Free the Pill, ""Who Prescribes the Pill Online?,"" freethepill.org (accessed September 19, 2018)
[66] Katie Mui, ""Here's How to Get Birth Control without a Doctor's Prescription,"" goodrx.com, February 13, 2018
[127] Guttmacher Institute, ""Pharmacist-Prescribed Contraceptives,"" guttmacher.org, March 1, 2022
[75] Sarah Elizabeth Richards, ""Why Over-the-Counter Birth Control Could Actually Lead to More Unwanted Pregnancies,"" latimes.com, May 28, 2016
[77] Kelli Stidham Hall, James Trussell, and Eleanor Bimla Schwarz, ""Progestin-Only Contraceptive Pill Use among Women in the United States,"" Contraception, December 2012
[126] National Women's Law Center, ""Access to Birth Control without Out-of-Pocket Costs: Improving and Expanding the Affordable Care Act's Contraceptive Coverage Requirement,"" nwlc.org (accessed March 22, 2022)",1,-0.6810852713178294,-0.6810852713178294,0.6810852713178294,0.6810852713178294,1.0,,4561,679,37,181,0.039684279763209825,5.712812960235641,18.35135135135135,1188,12.212682402579311,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6,1,1,0,32,0.8836524300441826,0.14727540500736377,0.14727540500736377,4.712812960235641,26.656848306332844,True,True
01c79006500604d555f1e99e505e88e86a519f9f0e1f2ec8d6d3d67352580e89,"At best, standardized tests can only evaluate rote knowledge of math, science, and English. The tests do not evaluate creativity, problem solving, critical thinking, artistic ability, or other knowledge areas that cannot be judged by scoring a sheet of bubbles filled in with a pencil.

Grade point averages (GPA) are a five times stronger indicator of college success than standardized tests, according to a study of 55,084 Chicago public school students. One of the authors, Elaine M. Allensworth, Lewis-Sebring Director of the University of Chicago Consortium, states, ""GPAs measure a very wide variety of skills and behaviors that are needed for success in college, where students will encounter widely varying content and expectations. In contrast, standardized tests measure only a small set of the skills that students need to succeed in college, and students can prepare for these tests in narrow ways that may not translate into better preparation to succeed in college."" [83]

""Earning good grades requires consistent behaviors over time-showing up to class and participating, turning in assignments, taking quizzes, etc.-whereas students could in theory do well on a test even if they do not have the motivation and perseverance needed to achieve good grades. It seems likely that the kinds of habits high school grades capture are more relevant for success in college than a score from a single test,"" explains Matthew M. Chingos, Vice President of Education Data and Policy at the Urban Institute. [84]
Citations:
[84] Matthew M. Chingos, ""What Matters Most for College Completion? Academic Preparation is a Key of Success,"" thirdway.org, May 25, 2018
[83] ""Research Finds that High School GPAs Are Stronger Predictors of College Graduation than ACT Scores,"" aera.net. Jan. 28, 2020",9,0.018382352941176464,-0.09050719819901987,0.12053571428571429,0.18020718549684533,0.6666666666666666,0.3405883286068559,1795,281,16,25,0.013927576601671309,5.384341637010676,17.5625,500,12.255816281138795,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,0,2,1,0,4,0.0,0.7117437722419929,0.35587188612099646,1.4234875444839858,8.896797153024911,True,False
